"","v1","v2","v3","v4","v5","v7","v8","v9","v10","RC1","RC2"
"55",4,3,3,1,4,5,3,4,4,-0.846620486861427,-1.50551952398625
"56",5,5,4,4,4,4,2,1,1,0.3179129835749,1.34250447843569
"57",4,4,5,2,4,5,4,4,2,0.647501115259334,1.98684580532691
"58",5,5,4,4,2,1,2,2,3,-0.777551635275044,0.648497037813087
"59",3,3,2,2,4,5,4,5,4,-0.777601423109478,-0.0743114119199007
"60",5,5,4,4,4,4,3,2,1,1.20255021200339,-0.470580896326408
"61",4,1,4,3,3,4,4,4,4,-1.15128971899654,-0.150921988350383
"62",5,5,4,4,3,4,1,1,3,-1.33879599133447,0.134701439932048
"63",2,1,3,1,4,1,5,4,5,-0.733349668262795,0.165464170195165
"64",1,1,1,1,4,2,5,5,4,0.897958982534966,-0.256104031077337
"65",1,1,2,1,5,4,3,3,2,1.30728353048882,-0.150724485807521
"66",5,5,5,5,3,4,2,2,1,-0.552951110305788,-0.589106027372044
"67",4,5,4,4,2,5,1,1,1,-0.513197659724522,1.37626983245805
"68",3,2,3,1,4,2,5,5,5,1.43632253526116,-0.195452624819544
"69",4,4,4,3,4,3,1,1,1,-1.14001232542168,-1.06113259406532
"70",5,5,5,5,2,3,2,2,2,0.998147546774473,-0.226314124131644
"71",2,2,2,1,5,4,3,4,3,1.45993376602684,0.79446529172274
"72",4,4,5,5,4,5,2,1,2,-0.892639100928322,-1.44271375848157
"73",3,2,2,1,4,4,4,3,3,-0.914004876893111,-0.688901811496039
"74",5,5,4,4,5,4,1,2,2,-0.930562207380599,-0.137042510652424
"75",4,3,3,1,4,5,3,4,4,0.590180850150653,0.516863304135044
"76",5,5,4,4,4,4,2,1,1,-0.239822963787935,0.0506332347595481
"77",4,4,5,2,4,5,4,4,2,-0.900271157589176,0.210252452163188
"78",5,5,4,4,2,1,2,2,3,-0.572093801639571,-1.61510045550077
"79",3,3,2,2,4,5,4,5,4,1.32536102832706,-0.330683364026336
"80",5,5,4,4,4,4,3,2,1,-0.631270834793891,-0.574254239949034
"81",4,1,4,3,3,4,4,4,4,-1.21485974685348,-0.844263192625608
"82",5,5,4,4,3,4,1,1,3,0.858532107294303,2.49717187191803
"83",2,1,3,1,4,1,5,4,5,1.2086657827019,1.02580430624168
"84",1,1,1,1,4,2,5,5,4,0.822509193579278,-0.256198897484045
"85",1,1,2,1,5,4,3,3,2,0.189882411002862,0.376485096755858
"86",5,5,5,5,3,4,2,2,1,1.12865906976855,-0.804929461360123
"87",4,5,4,4,2,5,1,1,1,0.232831914706109,0.228581904758501
"88",3,2,3,1,4,2,5,5,5,0.855016038130645,-0.527921403653405
"89",4,4,4,3,4,3,1,1,1,0.232202304697127,0.108991244960543
"90",5,5,5,5,2,3,2,2,2,-0.553637162673182,1.50419266784823
"91",2,2,2,1,5,4,3,4,3,0.338831301705569,1.5545616550414
"92",4,4,5,5,4,5,2,1,2,-0.556756966986061,-1.23161765322702
"93",3,2,2,1,4,4,4,3,3,0.896849714969475,1.96576879849199
"94",5,5,4,4,5,4,1,2,2,1.4966155102721,-0.496981863443704
"95",4,3,3,1,4,5,3,4,4,-0.623527417518511,-0.887106578841191
"96",5,5,4,4,4,4,2,1,1,1.29505231786505,-0.903518973478091
"97",4,4,5,2,4,5,4,4,2,-1.44164287356878,0.103452559048398
"98",5,5,4,4,2,1,2,2,3,1.46844274203788,-0.289337339015657
"99",3,3,2,2,4,5,4,5,4,0.609275092718756,0.773018105874883
"100",5,5,4,4,4,4,3,2,1,-0.353753146712655,-0.0458208856050545
