"","Valoración_credito","Edad","Ingresos","Tarjetas_credito","Educacion","Créditos_coche","CLASE.CART","PROBA.CART"
"39","Malo",20.7059862478619,"Medio","5 o más","Universitario","1 o ninguno","Malo",0.176706827309237
"40","Malo",24.483400778498,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"41","Malo",47.1565705466636,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.787037037037037
"42","Malo",24.6766742159246,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"43","Malo",30.8128525672555,"Alto","5 o más","Universitario","2 o más","Bueno",0.824175824175824
"44","Malo",20.8882710413201,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"45","Malo",21.0501871871164,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"46","Malo",32.4320734043165,"Medio","5 o más","Universitario","2 o más","Bueno",0.556818181818182
"47","Malo",31.3509429868332,"Medio","5 o más","Universitario","2 o más","Bueno",0.556818181818182
"48","Malo",22.9262007979793,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"49","Malo",35.1464045618997,"Medio","5 o más","Universitario","2 o más","Malo",0.266666666666667
"50","Malo",24.6859877052742,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"51","Malo",37.3259118227823,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"52","Malo",30.7003826006852,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"53","Malo",32.9188784527346,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"54","Malo",23.8542932248699,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"55","Malo",46.7665440615939,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"56","Malo",27.9103923633592,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"57","Malo",46.4413845780794,"Medio","5 o más","Bachillerato","1 o ninguno","Bueno",0.787037037037037
"58","Malo",20.659897679582,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"59","Malo",20.9644454738587,"Bajo","5 o más","Bachillerato","1 o ninguno","Malo",0.0985010706638115
"60","Malo",24.4541832825257,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"61","Malo",27.0624422830665,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"62","Malo",38.0588408752129,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"63","Malo",22.9924474628393,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"64","Malo",22.3703615701156,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"65","Malo",26.2054462837894,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"66","Malo",36.4479347959588,"Medio","5 o más","Universitario","2 o más","Malo",0.235294117647059
"67","Malo",22.7212962015897,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"68","Malo",33.2809046179516,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"69","Malo",28.145842696811,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"70","Malo",44.1311672465532,"Medio","5 o más","Universitario","1 o ninguno","Bueno",0.787037037037037
"71","Malo",24.8883322091134,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"72","Malo",21.8718354685422,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"73","Malo",28.2296857706114,"Bajo","5 o más","Universitario","1 o ninguno","Malo",0.0985010706638115
"74","Malo",36.981074736143,"Medio","5 o más","Bachillerato","2 o más","Malo",0.235294117647059
"75","Malo",24.1570209639776,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"76","Malo",35.6682891299808,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.727272727272727
"77","Malo",24.9736608268475,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"78","Malo",30.569168561562,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"79","Malo",20.3750191381309,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"80","Malo",32.6688864202564,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.556818181818182
"81","Malo",20.572878236889,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"82","Malo",26.6588421986387,"Bajo","Menos de 5","Universitario","1 o ninguno","Bueno",0.585365853658537
"83","Malo",30.8040429956535,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"84","Malo",29.8426085573117,"Medio","5 o más","Bachillerato","2 o más","Malo",0.377551020408163
"85","Malo",50.8259306210014,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"86","Malo",29.2553286116179,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"87","Malo",35.217775052466,"Medio","5 o más","Bachillerato","2 o más","Malo",0.266666666666667
"88","Malo",35.8179381695313,"Bajo","5 o más","Bachillerato","1 o ninguno","Malo",0.0985010706638115
"89","Malo",24.4379956687771,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"90","Malo",23.3965978143118,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"91","Malo",38.6766377107243,"Medio","5 o más","Universitario","2 o más","Bueno",0.621621621621622
"92","Malo",21.8608143906376,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"93","Malo",24.0426462902046,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"94","Malo",25.7179111996347,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"95","Malo",26.8074971745426,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"96","Malo",36.6202954590703,"Medio","5 o más","Universitario","2 o más","Malo",0.235294117647059
"97","Malo",29.0504182470589,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"98","Malo",30.7722547104839,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"99","Malo",22.1741156443952,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"100","Malo",42.9279116602498,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"101","Malo",26.7912141722531,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"102","Malo",24.2398446359384,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"103","Malo",25.8151667117764,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"104","Malo",20.744928361325,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"105","Malo",40.8749528919178,"Medio","5 o más","Universitario","2 o más","Bueno",0.621621621621622
"106","Malo",52.954416592796,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"107","Malo",25.3481322062955,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"108","Malo",28.1216094206886,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"109","Malo",29.5054539082567,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"110","Malo",35.8960396154667,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"111","Malo",20.140081223509,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"112","Malo",23.2267640693776,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"113","Malo",44.8210694648326,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"114","Malo",43.5733138525571,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.787037037037037
"115","Malo",20.1577726183548,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"116","Malo",27.4400247200362,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"117","Malo",24.0341753286725,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"118","Malo",37.0787708164245,"Medio","5 o más","Universitario","2 o más","Malo",0.235294117647059
"119","Malo",25.786153596081,"Alto","5 o más","Bachillerato","1 o ninguno","Bueno",0.824175824175824
"120","Malo",24.7985766994417,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"121","Malo",31.745383537968,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"122","Malo",38.7199229967469,"Medio","5 o más","Bachillerato","1 o ninguno","Bueno",0.666666666666667
"123","Malo",24.1200578751796,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"124","Malo",31.7960234437993,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"125","Malo",43.0320060219216,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"126","Malo",22.0994958720396,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"127","Malo",26.7976631978846,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"128","Malo",39.9798090582081,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"129","Malo",31.475303105808,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"130","Malo",23.6406022947793,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"131","Malo",33.1814402617578,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"132","Malo",40.0001902757812,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"133","Malo",23.4460767343563,"Alto","5 o más","Universitario","2 o más","Bueno",0.824175824175824
"134","Malo",29.8444583781421,"Bajo","Menos de 5","Universitario","1 o ninguno","Bueno",0.585365853658537
"135","Malo",29.323568573488,"Bajo","Menos de 5","Universitario","1 o ninguno","Bueno",0.585365853658537
"136","Malo",22.5094689693026,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"137","Malo",31.4276443963685,"Bajo","Menos de 5","Universitario","1 o ninguno","Bueno",0.585365853658537
"138","Malo",32.9620493787675,"Bajo","5 o más","Universitario","1 o ninguno","Malo",0.0985010706638115
"139","Malo",37.2314938011322,"Medio","5 o más","Bachillerato","2 o más","Malo",0.235294117647059
"140","Malo",39.489115643088,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"141","Malo",21.9852917708021,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"142","Malo",31.0103497155125,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"143","Malo",40.3986393387742,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"144","Malo",28.5288758584871,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"145","Malo",21.9254070422438,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"146","Malo",25.5223975435479,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"147","Malo",20.7221900132454,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"148","Malo",43.5694389556488,"Bajo","5 o más","Universitario","1 o ninguno","Malo",0.0985010706638115
"149","Malo",33.0903023989461,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"150","Malo",27.8529237278381,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"151","Malo",28.7402875940246,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"152","Malo",44.6145814432399,"Bajo","5 o más","Bachillerato","1 o ninguno","Malo",0.0985010706638115
"153","Malo",22.3164390887254,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"154","Malo",32.7256667631479,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.556818181818182
"155","Malo",32.1968098142846,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"156","Malo",22.2180361779202,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"157","Malo",30.2598506453849,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"158","Malo",54.6752933332748,"Medio","5 o más","Universitario","2 o más","Bueno",0.787037037037037
"159","Malo",29.5136008133173,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"160","Malo",20.1420207720257,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"161","Malo",29.2483106205299,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"162","Malo",38.1418996341859,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"163","Malo",28.7639567726888,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"164","Malo",36.4502866401677,"Bajo","5 o más","Universitario","1 o ninguno","Malo",0.0985010706638115
"165","Malo",20.6360910024159,"Medio","5 o más","Universitario","1 o ninguno","Malo",0.176706827309237
"166","Malo",24.5441722789694,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"167","Malo",31.3859793968831,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"168","Malo",39.7978043626272,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"169","Malo",28.5635920272227,"Medio","5 o más","Bachillerato","2 o más","Malo",0.377551020408163
"170","Malo",22.6118285960008,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"171","Malo",33.1744607793692,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"172","Malo",43.3712461463527,"Bajo","5 o más","Bachillerato","1 o ninguno","Malo",0.0985010706638115
"173","Malo",34.3596169097645,"Medio","5 o más","Universitario","1 o ninguno","Bueno",0.666666666666667
"174","Malo",40.6744251421392,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"175","Malo",33.7418733861833,"Alto","5 o más","Universitario","1 o ninguno","Bueno",0.824175824175824
"176","Malo",25.2338964969973,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"177","Malo",26.0900469051809,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"178","Malo",31.6281852604027,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"179","Malo",41.6701887330609,"Medio","5 o más","Bachillerato","2 o más","Malo",0.272727272727273
"180","Malo",23.0751372385481,"Medio","5 o más","Universitario","1 o ninguno","Malo",0.176706827309237
"181","Malo",24.8602828496679,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"182","Malo",23.6284514155662,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"183","Malo",25.9634582030627,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"184","Malo",44.0047795580572,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"185","Malo",21.9569801507272,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"186","Malo",37.5828814372558,"Medio","5 o más","Bachillerato","2 o más","Malo",0.235294117647059
"187","Malo",53.8633592463894,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"188","Malo",29.7971079180962,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"189","Malo",26.7235054997449,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"190","Malo",24.2024760192626,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"191","Malo",34.3595617635645,"Bajo","Menos de 5","Universitario","1 o ninguno","Bueno",0.585365853658537
"192","Malo",24.8645596062031,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"193","Malo",33.7434402429103,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.556818181818182
"194","Malo",36.2217274351809,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"195","Malo",24.2224081997247,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"196","Malo",43.8141401637897,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"197","Malo",22.5765226236055,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"198","Malo",47.8934585751075,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"199","Malo",37.563025976095,"Bajo","5 o más","Universitario","1 o ninguno","Malo",0.0985010706638115
"200","Malo",24.414339559991,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"201","Malo",28.2343153088959,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"202","Malo",20.5885591996883,"Medio","5 o más","Universitario","1 o ninguno","Malo",0.176706827309237
"203","Malo",27.883461263309,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"204","Malo",23.603585259817,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"205","Malo",20.8409536886581,"Medio","Menos de 5","Bachillerato","2 o más","Bueno",0.910112359550562
"206","Malo",34.5106453351388,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"207","Malo",32.7473522495395,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"208","Malo",30.1509181152066,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"209","Malo",22.4279521734877,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"210","Malo",23.4541685739922,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"211","Malo",31.8019945259269,"Medio","5 o más","Universitario","1 o ninguno","Bueno",0.666666666666667
"212","Malo",22.9643315569764,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"213","Malo",37.3181942031167,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"214","Malo",29.353057199554,"Medio","5 o más","Bachillerato","2 o más","Malo",0.377551020408163
"215","Malo",51.909121429805,"Medio","5 o más","Universitario","1 o ninguno","Bueno",0.787037037037037
"216","Malo",26.8245245488946,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"217","Malo",40.7576406039382,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"218","Malo",40.5149732334475,"Medio","5 o más","Universitario","2 o más","Bueno",0.621621621621622
"219","Malo",25.1497702907253,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"220","Malo",30.290568288535,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
"221","Malo",20.57246134029,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"222","Malo",29.5991204074621,"Medio","5 o más","Bachillerato","1 o ninguno","Bueno",0.666666666666667
"223","Malo",21.3921236686365,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"224","Malo",26.5235111064731,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"225","Malo",23.6380095275337,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"226","Malo",24.8742583840909,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"227","Malo",26.4193029181288,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"228","Malo",31.8947167215069,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.556818181818182
"229","Malo",32.9169179005534,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"230","Malo",37.4248536918005,"Medio","5 o más","Universitario","2 o más","Malo",0.235294117647059
"231","Malo",28.1355325401816,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"232","Malo",24.7145222771592,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"233","Malo",35.1171275186341,"Medio","5 o más","Universitario","2 o más","Malo",0.266666666666667
"234","Malo",32.5631873536523,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.556818181818182
"235","Malo",35.0325729797642,"Medio","5 o más","Universitario","2 o más","Malo",0.266666666666667
"236","Malo",43.2737021010012,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.787037037037037
"237","Malo",23.5342672475422,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"238","Malo",25.0109713630687,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"239","Malo",26.606922513794,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"240","Malo",41.4107334432618,"Medio","5 o más","Universitario","2 o más","Malo",0.272727272727273
"241","Malo",20.3480430942048,"Bajo","Menos de 5","Bachillerato","1 o ninguno","Malo",0.263157894736842
"242","Malo",35.2409192708316,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"243","Malo",44.299235916344,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"244","Malo",38.6124861614408,"Medio","5 o más","Universitario","2 o más","Bueno",0.621621621621622
"245","Malo",33.5311094002042,"Medio","5 o más","Universitario","2 o más","Bueno",0.556818181818182
"246","Malo",22.5303268975708,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"247","Malo",46.5129396966587,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"248","Malo",28.0491472148266,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"249","Malo",40.2926504052346,"Medio","5 o más","Universitario","2 o más","Bueno",0.621621621621622
"250","Malo",20.7259057586504,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"251","Malo",26.529736680905,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"252","Malo",38.7627310437811,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"253","Malo",35.5641140165359,"Alto","5 o más","Bachillerato","2 o más","Bueno",0.824175824175824
"254","Malo",28.2478790490365,"Medio","5 o más","Bachillerato","2 o más","Malo",0.377551020408163
"255","Malo",37.1208074136719,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"256","Malo",22.7833584007461,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"257","Malo",37.0713255599501,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"258","Malo",35.0025876391362,"Alto","5 o más","Universitario","2 o más","Bueno",0.824175824175824
"259","Malo",39.0155336557788,"Medio","5 o más","Bachillerato","2 o más","Bueno",0.621621621621622
"260","Malo",29.2097752001871,"Medio","5 o más","Bachillerato","2 o más","Malo",0.377551020408163
"261","Malo",21.6059850715002,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"262","Malo",25.4061830430372,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"263","Malo",36.409149518146,"Medio","5 o más","Universitario","2 o más","Malo",0.235294117647059
"264","Malo",34.3064745419221,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"265","Malo",20.1827917431326,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"266","Malo",24.9655415143069,"Bajo","Menos de 5","Universitario","1 o ninguno","Bueno",0.585365853658537
"267","Malo",22.9907752779681,"Medio","Menos de 5","Universitario","1 o ninguno","Bueno",0.910112359550562
"268","Malo",22.9312294620269,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"269","Malo",31.7667285102515,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"270","Malo",40.7829040184075,"Medio","5 o más","Universitario","2 o más","Bueno",0.621621621621622
"271","Malo",25.7122423209013,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"272","Malo",20.2326510503668,"Bajo","5 o más","Bachillerato","2 o más","Malo",0.0985010706638115
"273","Malo",20.8211335339491,"Bajo","5 o más","Universitario","2 o más","Malo",0.0985010706638115
"274","Malo",22.2407443675485,"Medio","5 o más","Universitario","2 o más","Malo",0.176706827309237
"275","Malo",23.3170998798764,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"276","Malo",26.1670042854707,"Medio","5 o más","Bachillerato","2 o más","Malo",0.176706827309237
"277","Malo",26.2228490114469,"Medio","Menos de 5","Bachillerato","1 o ninguno","Bueno",0.910112359550562
"278","Malo",28.9054918241619,"Medio","5 o más","Universitario","2 o más","Malo",0.377551020408163
